"Broad7_geneID"	"MIPS description"	"FunCat"	"Pfam"	"SignalP"	"ID25"	"ID30"	"ID35"
"NCU00005"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";DUF1109;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00007"	"related to pH signal transduction protein PalH"	"30 CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM_30.05 transmembrane signal transduction_34 INTERACTION WITH THE ENVIRONMENT_34.11 cellular sensing and response to external stimulus_34.11.03 chemoperception and response_34.11.03.11 pH response_70 SUBCELLULAR LOCALIZATION_70.02 eukaryotic plasma membrane / membrane attached"	";PalH;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00008"	"probable longevity-assurance protein LAG1"	"01 METABOLISM_01.06 lipid, fatty acid and isoprenoid metabolism_20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.09 transport routes_20.09.07 vesicular transport (Golgi network, etc.)_20.09.07.03 ER to Golgi transport_40 CELL FATE_40.20 cell aging_70 SUBCELLULAR LOCALIZATION_70.07 endoplasmic reticulum"	";TRAM1;LAG1;"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"B_Evol"
"NCU00009"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU00011"	"questionable protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU00013"	"questionable protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU00014"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"N_Evol"	"N_Evol"
"NCU00015"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	";AhpC-TSA;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00017"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Zn_clus;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00019"	"related to forkhead protein"	"10 CELL CYCLE AND DNA PROCESSING_10.01 DNA processing_10.01.09 DNA restriction or modification_10.01.09.05 DNA conformation modification (e.g. chromatin)_10.03 cell cycle_10.03.01 mitotic cell cycle and cell cycle control_11 TRANSCRIPTION_11.02 RNA synthesis_11.02.03 mRNA synthesis_11.02.03.04 transcriptional control_70 SUBCELLULAR LOCALIZATION_70.10 nucleus"	";FHA;Extensin_2;Fork_head;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00022"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";AflR;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"N_Evol"
"NCU00023"	"related to ferric-chelate reductase"	"16 PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic)_16.17 metal binding_16.17.09 heavy metal binding (Cu, Fe, Zn)_20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.01 ion transport_20.01.01.01 cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.)_20.01.01.01.01 heavy metal ion transport (Cu+, Fe3+, etc.)_20.09 transport routes_20.09.18 cellular import_34 INTERACTION WITH THE ENVIRONMENT_34.01 homeostasis_34.01.01 homeostasis of cations_34.01.01.01 homeostasis of metal ions (Na, K, Ca etc.)_70 SUBCELLULAR LOCALIZATION_70.02 eukaryotic plasma membrane / membrane attached"	";DUF1206;Ferric_reduct;FAD_binding_8;NAD_binding_6;NAD_binding_1;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU00024"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Yippee;"	"Non-secretory protein"	"E_Evol"	"F_Evol"	"F_Evol"
"NCU00025"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";C4dic_mal_tran;UAA;Nuc_sug_transp;NADHdh;TPT;DUF6;"	"Signal peptide"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU00026"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00027"	"related to tRNA splicing endonuclease delta subunit"	"11 TRANSCRIPTION_11.04 RNA processing_11.04.02 tRNA processing"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00028"	"related to formaldehyde dehydrogenase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism"	";ADH_N;ADH_zinc_N;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00029"	"related to vacuolar zinc efflux protein"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.01 ion transport_20.01.01.01 cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.)_20.09 transport routes_20.09.13 vacuolar/lysosomal transport_34 INTERACTION WITH THE ENVIRONMENT_34.01 homeostasis_34.01.01 homeostasis of cations_70 SUBCELLULAR LOCALIZATION_70.25 vacuole or lysosome"	";Zip;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00030"	"probable nuclease NUC1 precursor, mitochondrial"	"01 METABOLISM_01.03 nucleotide/nucleoside/nucleobase metabolism_01.03.16 polynucleotide degradation_70 SUBCELLULAR LOCALIZATION_70.16 mitochondrion"	";Endonuclease_NS;"	"Signal peptide"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00031"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU00034"	"related to farnesyl cysteine carboxyl-methyltransferase"	"01 METABOLISM_01.06 lipid, fatty acid and isoprenoid metabolism_14 PROTEIN FATE (folding, modification, destination)_14.07 protein modification_14.07.01 modification with fatty acids (e.g. myristylation, palmitylation, farnesylation)"	";DUF1295;ICMT;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU00035"	"related to diacylglycerol acyltransferase"	"01 METABOLISM_01.06 lipid, fatty acid and isoprenoid metabolism"	";MBOAT;"	"Non-secretory protein"	"O_Evol"	"O_Evol"	"F_Evol"
"NCU00037"	"related to polyadenylation factor I subunit 2"	"11 TRANSCRIPTION_11.04 RNA processing_11.04.03 mRNA processing (splicing, 5'-, 3'-end processing)_11.04.03.05 3'-end processing"	";WD40;WD40;WD40;WD40;WD40;WD40;Extensin_2;WD40;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00039"	"related to beta-1,3 exoglucanase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_01.05.03 polysaccharide metabolism_32 CELL RESCUE, DEFENSE AND VIRULENCE_32.10 degradation / modification of foreign (exogenous) compounds_32.10.07 degradation / modification of foreign (exogenous) polysaccharides"	";Mucin;WSC;WSC;Toxin_7;"	"Signal peptide"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00041"	"g protein gamma subunit Gng-1"	"30 CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM_30.01 cellular signalling_30.01.05 enzyme mediated signal transduction_30.01.05.05 G-protein mediated signal transduction_30.01.05.05.03 trimeric G-protein mediated signal transduction_34 INTERACTION WITH THE ENVIRONMENT_34.11 cellular sensing and response to external stimulus_34.11.03 chemoperception and response_34.11.03.07 pheromone response, mating-type determination, sex-specific proteins"	";G-gamma;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU00043"	"serine/threonine protein phosphatase PP1 PPP-1"	"10 CELL CYCLE AND DNA PROCESSING_10.01 DNA processing_10.01.09 DNA restriction or modification_10.01.09.05 DNA conformation modification (e.g. chromatin)_10.03 cell cycle_10.03.04 nuclear and chromosomal cycle_10.03.04.05 chromosome segregation/division_14 PROTEIN FATE (folding, modification, destination)_14.07 protein modification_14.07.03 modification by phosphorylation, dephosphorylation, autophosphorylation"	";Metallophos;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00045"	"related to bromodomain and PHD finger-containing protein"	"11 TRANSCRIPTION_11.02 RNA synthesis_11.02.03 mRNA synthesis_11.02.03.04 transcriptional control"	";C1_3;PHD;zf-C3HC4;zf-RanBP;zf-RING-like;UPF0253;HRDC;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00046"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";LRR_1;LRR_1;LRR_1;LRR_1;LRR_1;LRR_1;LRR_1;LRR_1;"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"F_Evol"
"NCU00051"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";PIR;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00052"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";CoA_transf_3;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU00054"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Fungal_trans;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00055"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Dioxygenase_N;Dioxygenase_C;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00056"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Ail_Lom;ketoacyl-synt;Thiolase_C;Ketoacyl-synt_C;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00057"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Ubiq_cyt_C_chap;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00059"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00060"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00061"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	";Glyco_hydro_16;"	"Signal peptide"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00064"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00065"	"related to tRNA dihydrouridine synthase"	"11 TRANSCRIPTION_11.06 RNA modification_11.06.02 tRNA modification"	";Dus;"	"Non-secretory protein"	"A_Evol"	"F_Evol"	"F_Evol"
"NCU00067"	"probable dolichol phosphate-mannose biosynthesis regulatory protein"	"18 REGULATION OF METABOLISM AND PROTEIN FUNCTION_18.02 regulation of protein activity_18.02.01 enzymatic activity regulation / enzyme regulator"	";DPM2;"	"Signal peptide"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00069"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU00070"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Extensin_2;HPC2;PHD;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00072"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";TspO_MBR;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00074"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00075"	"probable heat shock protein"	"14 PROTEIN FATE (folding, modification, destination)_14.01 protein folding and stabilization_32 CELL RESCUE, DEFENSE AND VIRULENCE_32.01 stress response_32.01.05 heat shock response_70 SUBCELLULAR LOCALIZATION_70.16 mitochondrion"	";Pam16;DnaJ;"	"Signal peptide"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00076"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Exonuc_X-T;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00078"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Signal peptide"	"E_Evol"	"F_Evol"	"F_Evol"
"NCU00079"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"N_Evol"	"N_Evol"
"NCU00082"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Signal anchor"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU00084"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";SSDP;Extensin_2;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU00085"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Extensin_2;RNA_pol_Rpb1_R;RNA_pol_Rpb1_R;RNA_pol_Rpb1_R;RNA_pol_Rpb1_R;RNA_pol_Rpb1_R;C1_3;"	"Non-secretory protein"	"F_Evol"	"N_Evol"	"N_Evol"
"NCU00086"	"related to endo-1,6-alpha-D-mannanase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_01.05.03 polysaccharide metabolism"	";Glyco_hydro_76;"	"Signal peptide"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU00087"	"probable multicopy suppressor of los1-1"	"11 TRANSCRIPTION_11.04 RNA processing_11.04.02 tRNA processing"	";Glucosamine_iso;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00088"	"probable 4-nitrophenylphosphatase"	"01 METABOLISM_01.04 phosphate metabolism_01.20 secondary metabolism_70 SUBCELLULAR LOCALIZATION_70.03 cytoplasm"	";Hydrolase;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00089"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";SET;C1_4;zf-MYND;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00090"	"related to PacC protein"	"11 TRANSCRIPTION_11.02 RNA synthesis_11.02.03 mRNA synthesis_11.02.03.04 transcriptional control_16 PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic)_16.03 nucleic acid binding_16.03.01 DNA binding_34 INTERACTION WITH THE ENVIRONMENT_34.11 cellular sensing and response to external stimulus_34.11.03 chemoperception and response_34.11.03.11 pH response"	";zf-C2H2;zf-C2H2;zf-C2H2;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00091"	"conversion hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00092"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU00093"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU00095"	"related to tetratricopeptide repeat protein tpr1"	"34 INTERACTION WITH THE ENVIRONMENT_34.01 homeostasis_34.01.01 homeostasis of cations_34.01.01.01 homeostasis of metal ions (Na, K, Ca etc.)"	";TPR_2;TPR_1;TPR_2;TPR_4;TPR_1;TPR_2;TPR_1;TPR_2;TPR_2;TPR_1;TPR_2;TPR_4;TPR_1;TPR_2;TPR_1;TPR_2;TPR_4;TPR_1;TPR_2;TPR_1;TPR_2;MARCKS;TPR_1;TPR_2;"	"Non-secretory protein"	"E_Evol"	"F_Evol"	"F_Evol"
"NCU00096"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU00097"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";GCM;"	"Non-secretory protein"	"F_Evol"	"N_Evol"	"N_Evol"
"NCU00100"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Peptidase_C14;Homeobox;Rhodanese;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00102"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"F_Evol"
"NCU00103"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00104"	"probable heat shock protein HSP104 (endopeptidase Clp ATP-binding chain HSP104)"	"14 PROTEIN FATE (folding, modification, destination)_14.13 protein/peptide degradation_16 PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic)_16.19 nucleotide/nucleoside/nucleobase binding_16.19.03 ATP binding_32 CELL RESCUE, DEFENSE AND VIRULENCE_32.01 stress response_32.01.05 heat shock response"	";Clp_N;Clp_N;Arch_ATPase;AAA;PIP5K;DUF827;PLU-1;TolA;Torsin;Mg_chelatase;Sigma54_activat;AAA_2;AAA_3;AAA_5;Peptidase_S49_N;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00105"	"probable NIP7 protein, required for efficient 60S ribosome subunit biogenesis"	"12 PROTEIN SYNTHESIS_12.01 ribosome biogenesis_70 SUBCELLULAR LOCALIZATION_70.03 cytoplasm_70.10 nucleus"	";UPF0113;PUA;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00108"	"probable protein kinase Eg22"	"14 PROTEIN FATE (folding, modification, destination)_14.07 protein modification_14.07.03 modification by phosphorylation, dephosphorylation, autophosphorylation_30 CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM_30.01 cellular signalling"	";Pkinase;Pkinase_Tyr;Kdo;RIO1;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00110"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	";DUF761;HPC2;DUF1168;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00112"	"probable aminopeptidase P, cytoplasmic"	"14 PROTEIN FATE (folding, modification, destination)_14.13 protein/peptide degradation_70 SUBCELLULAR LOCALIZATION_70.03 cytoplasm"	";Creatinase_N;Peptidase_M24;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU00113"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";IBN_N;Xpo1;tRNA-synt_1b;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU00114"	"related to ribosomal protein S10"	"12 PROTEIN SYNTHESIS_12.01 ribosome biogenesis_12.01.01 ribosomal proteins"	";Ribosomal_S10;"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"F_Evol"
"NCU00115"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Fcf2;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"F_Evol"
"NCU00116"	"CCAAT-binding transcription factor subunit aab-1 AAB-1"	"11 TRANSCRIPTION_11.02 RNA synthesis_11.02.03 mRNA synthesis_11.02.03.04 transcriptional control_16 PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic)_16.03 nucleic acid binding_16.03.01 DNA binding_70 SUBCELLULAR LOCALIZATION_70.10 nucleus"	";Histone;CBFD_NFYB_HMF;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"O_Evol"
"NCU00117"	"related to secretory pathway protein (exocyst complex protein Sec15)"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.09 transport routes_20.09.07 vesicular transport (Golgi network, etc.)_20.09.16 cellular export and secretion"	";DHC_N1;DNA_methylase;DUF155;Sec15;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"F_Evol"
"NCU00119"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Sad1_UNC;S-antigen;"	"Signal peptide"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU00120"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";DUF1777;DUF1740;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU00121"	"related to CLC chloride channel protein"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.03 transport facilities_20.03.01 channel / pore class transport_20.03.01.01 ion channels_34 INTERACTION WITH THE ENVIRONMENT_34.01 homeostasis_34.01.03 homeostasis of anions_34.01.03.05 homeostasis of chloride"	";MFS_1;Voltage_CLC;CbiM;CBS;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"B_Evol"
